timestamp,src_ip,src_port,dst_ip,dst_port,txid,input_addresses,output_addresses,input_amounts,output_amounts,geo_country,asn,fee,script_type
2026-02-01T00:01:02Z,144.110.56.159,42722,31.137.167.5,8333,6f4aa11642ca5ea7bb8c13d3acc4968bbe7789b778a89ceffdecd68cf6280250,"[""13e1e6364ee1843529fcfbcf26d""]","[""1d420cf25832b499a9323250bac""]",[2.55414237],[2.55384745],BR,AS59219,0.00029492,P2WSH
2026-02-01T00:09:31Z,197.1.191.17,40744,173.87.158.22,8333,8e8d953f6dddc4d66ddb6810f39ebadb131d28c9adbd068e7310763cfd639b88,"[""bc1qfd7b31fd50114ac7822289d41d""]","[""19b6eff9b70394cfb92e6b3ca68"", ""3c78e9707e67942ac9e4940e70d""]",[2.30704754],"[0.83570073, 1.47075708]",BR,AS48438,0.00058973,P2SH
2026-02-01T00:18:29Z,1.231.42.157,44139,170.174.175.89,8333,0813e3daaeb6bd0302beed774dc59a25741c2f227684dd1772fc7e7f6f1737eb,"[""3cbccfcb25f2f4d6aac906d7e4b""]","[""376466383b2e54e68af3785076b""]",[1.65114681],[1.65083389],SG,AS47523,0.00031292,P2WSH
2026-02-01T00:30:45Z,184.143.109.146,14048,95.140.204.78,8333,448a18302c0263ebfc76a61d3dbeb2992af69dba4b54e8114194a8dd9f3749c0,"[""15e806668052b482ebf39bec3ef""]","[""30c84035b0f2b4408b5e0b66766""]",[1.47052431],[1.47050146],BR,AS59219,2.285e-05,P2PKH
2026-02-01T00:53:06Z,191.204.184.244,12896,20.89.131.247,8333,8bd76bc835ec4a9974544a480d0b956110cc9c042e47dfeda19c14dcc0dc829e,"[""bc1q86c499c0f7e2437f9fc0dbeeb7""]","[""3af116498e30340d5a981d1a2a2"", ""161ad6a79ef174a6f8baf24e710""]",[2.92338664],"[1.44892551, 1.47409959]",IN,AS57876,0.00036154,P2PKH
2026-02-01T01:10:19Z,42.95.199.70,51865,184.250.69.144,8333,fefedb0548c0548ec319ca5406d8d5d73ed4b1561d7f7066d934fe22b1deff5b,"[""bc1q34cbc8df876942649a65a60b75""]","[""bc1qcf1c7366708d41539d4f49fc6c""]",[1.52459487],[1.52427419],IN,AS28824,0.00032068,P2WPKH
2026-02-01T01:33:14Z,167.135.174.163,19398,203.153.91.36,8333,90b20d4782f096cc6ceaececf5a2e01ecebc7ad9c6da344fd10c7aa919c365e5,"[""bc1qa5ac8dc8844c4d21be2acdfd47"", ""19d5f7825b1a249eea940eb37ee""]","[""3dd384b13f79e43c7a4a734a7f5"", ""17c789a1df8c441a1b12c9a8838""]","[0.43279018, 2.39214885]","[1.49463782, 1.32981971]",NG,AS54903,0.0004815,P2WPKH
2026-02-01T01:53:45Z,107.81.69.201,20727,57.186.47.120,8333,04f8763280233aa2ff9a4e91c19b1fef31aaa490bb8dc41e45014dcee7640cc4,"[""bc1q2f25cea716154b569a9727ff39""]","[""30d75601032224a4d8d7476cf2e""]",[2.04009908],[2.03984487],NG,AS23777,0.00025421,P2SH
2026-02-01T02:03:06Z,31.191.128.100,11759,129.97.46.109,8333,dcd9ee044fbf026e03ada9529e56d4b37613d26617cd419cf08d9c4c0e232a17,"[""14acf7a4c1db84e1585873060ac""]","[""3af116498e30340d5a981d1a2a2"", ""bc1qb54be22508be4753bf1472364d""]",[0.28487348],"[0.16554861, 0.11896912]",NG,AS38907,0.00035575,P2SH
2026-02-01T02:17:52Z,7.243.167.175,31130,220.185.107.248,8333,6cdb60cce9b0e62c6c6bb2527029eba4647d45aa8bb333cb1d934717f6de8afe,"[""367d7efb08c9c4017a04321a256""]","[""bc1qab35464e18874e03b6ba18a26f""]",[0.47638073],[0.47578553],DE,AS60664,0.0005952,P2WSH
2026-02-01T02:41:02Z,195.179.209.213,12304,53.221.96.231,8333,409cb77034b2c6389c73c2ac349370bdb4ace2024b7094d82f843713b27d800d,"[""141dc973b2e73436ab88b00da45"", ""1402fdd39be074a08bb9daec100""]","[""131b8de30383d499d9b2a40bb93""]","[2.26840268, 1.0624523]",[3.33044436],DE,AS63527,0.00041062,P2PKH
2026-02-01T02:53:33Z,195.179.209.213,8066,204.73.113.249,8333,98cd18f1530a67dc167366f4ff7fe8783496c586e6c763aa01e9b26a04f5c847,"[""3248cb006abf0410abd723d6bf4""]","[""36ee60c3eee734d1e842478f6a6"", ""360a6722c961e4a3eb7e1a35dd0""]",[0.02955514],"[0.01914179, 0.01009595]",DE,AS63527,0.0003174,P2WSH
2026-02-01T03:11:25Z,71.245.213.68,63047,26.141.151.10,8333,78d661af94ec02a28860344b5c12111472031063c46beb1fc5e552893184c907,"[""bc1qaf0bcd66ada647c385455b94d5"", ""16dc934aa3f9045818e6075b31c""]","[""3248cb006abf0410abd723d6bf4"", ""bc1qd0db2fb48483457d9641f3ed09""]","[2.90204378, 0.23740467]","[1.62746393, 1.51169807]",BR,AS48438,0.00028645,P2PKH
2026-02-01T03:16:26Z,118.250.184.236,26703,24.86.130.5,8333,a7f367b5005159abc1af1ac77bc1a25caf596e9cbedad6d57f24a33da8c0da5f,"[""173e2df1d9cf447b9b5c6db5be3"", ""bc1q7f735bae2f844015a0a4e1d32f""]","[""1cf165427595543eba88cfaaaa4""]","[1.43641323, 0.06687707]",[1.50275038],IN,AS42932,0.00053992,P2PKH
2026-02-01T03:24:51Z,166.60.178.122,34715,221.160.214.11,8333,6733c1291ba43b14bf6fc9dd1c0eb7f97cafc16a59f6967628aa8fa59ea4d76f,"[""3df1b0c9d54d64897bff523bbc2""]","[""17c789a1df8c441a1b12c9a8838"", ""3dd384b13f79e43c7a4a734a7f5""]",[0.7267814],"[0.35407109, 0.3722773]",US,AS25724,0.00043301,P2SH
2026-02-01T03:32:15Z,40.105.222.160,35727,120.71.150.62,8333,fe8a9a978ebbfafa5a837e2d0074e9b8eaf80d51cd33fb7221cdd73e9810d15a,"[""1fbbc41762cfc4251b1ef7eeef4""]","[""bc1qb54be22508be4753bf1472364d""]",[1.44902806],[1.44900841],DE,AS38907,1.965e-05,P2WPKH
2026-02-01T03:47:40Z,141.242.159.49,53566,28.212.205.250,8333,249c5b3dc6d416090ef19e669796b1dfcf85c327c9472df91a5038f4fe964615,"[""3147e205e3f8f474fa50dc93545"", ""36ff52844d2724103a6b6d0179c""]","[""1a3e46d4f5eb3426c9920ee6398"", ""bc1q7943e7ea0c7b4cb89a2cdadb66""]","[1.68868434, 2.41771475]","[2.1427968, 1.96324622]",NL,AS17806,0.00035607,P2SH
2026-02-01T03:54:39Z,9.100.88.12,15347,181.59.229.141,8333,2b057ba1edab9548d906b7a0e3f4f11fbfc3b3d2ecdaca213c73b9f216ddd442,"[""bc1qfe2b2680ea744a0780d0e972fc""]","[""3df1b0c9d54d64897bff523bbc2""]",[2.73659654],[2.73653665],NG,AS47523,5.989e-05,P2WPKH
2026-02-01T04:15:20Z,150.157.22.245,31916,67.36.85.141,8333,da42816b442aae9089a970695c961fcaf5c511bab1fd24774548489dcb286612,"[""1c6ad6d2580854f349bd0ee24f8"", ""1cf165427595543eba88cfaaaa4""]","[""3af116498e30340d5a981d1a2a2"", ""3bc542c41fad5434ba4b9269326""]","[0.27417782, 1.95595198]","[0.67550052, 1.5544546]",US,AS50252,0.00017468,P2WSH
2026-02-01T04:18:48Z,103.221.103.76,41822,46.87.121.43,8333,5d0f8da51331ff3c7124a84033edcb68f2e961353443af3b15605a496269060c,"[""30d75601032224a4d8d7476cf2e"", ""1fa5d6063ce2448f1873fb518b7""]","[""1c6ad6d2580854f349bd0ee24f8""]","[0.72761919, 0.04637704]",[0.77375859],GB,AS42171,0.00023764,P2WPKH
2026-02-01T04:38:43Z,167.135.174.163,54944,210.242.76.176,8333,f9f755c35b3b9402b0790d5783d878db7384bebd218bd65aa3a2e81232efcb91,"[""bc1qa5ac8dc8844c4d21be2acdfd47""]","[""367d7efb08c9c4017a04321a256"", ""bc1q452cd1a269c446b0b0e42e3801""]",[0.05780711],"[0.03471849, 0.02303477]",NG,AS54903,5.385e-05,P2SH
