timestamp,src_ip,dst_ip,src_port,dst_port,txid,input_addresses,input_amounts,output_addresses,output_amounts,fee,script_type,geo_country,asn,tag
2026-09-10T08:02:47Z,172.67.182.80,198.51.100.1,28502,8333,edcf764757e6b1fc5d3ee78c80bc0324de848ded212219144f194e8d49c91cb8,bc1q6642dzap7cj2f5xaea0ylhs474zmvpqevupzcl,0.936943,bc1q943eewnxxtdfmzpfyzfch2qg9s09355yv03ee4,0.935069,0.001874,p2sh,SG,AS200052,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:06:54Z,91.240.118.36,198.51.100.1,36814,8333,7d97d2b251750123dc3ade995146ef2d5c5e6f0dbc94c3ad9f7e04e82d250470,bc1qze9ldqexmcx5ku0ehfyraqyu0gytf9ndax68mz,0.605138,1vc33tXY8cbKEBMUW46EQe2kafeUh5fcuB,0.603928,0.00121,p2sh,NL,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:13:03Z,104.244.72.244,198.51.100.1,56232,8333,dd670327e5ad62d8d3fed3b40695236c0e493ee12d7e9fb4314df8d649403752,bc1q6wjvu9n06p9hw87d3xygtfmn75unxq325cep75,0.609657,1YVceRk6hHL7YP1h3imJSGb5Hp1xTFYSfH,0.608438,0.001219,p2sh,FR,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:14:10Z,104.244.72.130,198.51.100.1,2018,8333,3c37314ae5d6e8f96b323b88dfc3992e6c9c1b0580d5371d8795f32c6f83dedb,bc1qkxd70qjn4j5er0s5njdxfsjke7yc8p5gvkfjtf,0.217978,bc1q5wz0ljum7z3eptrwj79c3tdvgq047c0sn2n8sh,0.217542,0.000436,p2pkh,JP,AS9009,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:20:39Z,203.0.113.12,198.51.100.1,50414,8333,d2c42fab9d3a4d8cbe297b2132841108087a1051f1e916dec1ad93f16e912ccc,bc1qxkzy2785ha3cpyzgmlkwycckvra5vcuh7k5txv,0.132595,1GWUs9KjF92HoWajcEi1JoedRQg9i3ctDU;1LbCLS1rKyyL8W8tgVK1zhhr1Ns1QF3u3a,0.092816;0.039513,0.000266,p2wpkh,DE,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:23:39Z,185.220.101.108,198.51.100.1,23632,8333,aa326d16581a36d210112c4960ae1fe0019047dbc73929f9912a9ecab866c3ff,1TS1pCKYRJrtnYXPXfE4E65dmwC5shXcFu,0.996649,1VtWUFaVKBeJabZN4YpJ4st745pHXZyXKc;1smhbUsigiUWxTu1m1zweo9bW4JFF2rQWy,0.697654;0.297001,0.001994,p2sh,IN,AS24940,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:26:20Z,185.220.101.108,198.51.100.1,17724,8333,647ab95301179cab00b72ec3a7b4eabbe0873fad13ca586e8b72ca09fcade0a1,1eq1J6nB1AcyEuiKqmSH5CxDXz37H4cAct,0.98421,1Y2X1TruiHSVCpjqXRue6N8UwDKXpYDVyA,0.982242,0.001968,p2wpkh,DE,AS16276,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:35:00Z,104.244.72.93,198.51.100.1,17371,8333,95d07612533bc52af4d758f99e3a3bd935071dedaae5dfef4c54464dd6cd0117,bc1q6642dzap7cj2f5xaea0ylhs474zmvpqevupzcl,0.650121,1j54yGypjyDoAnKBu5oQ23ohB2i5Qpbh1D;bc1qr7tcwa93wgkd9v3d6966djpax89l9llnfhwqhj,0.455085;0.193736,0.0013,p2wpkh,GB,AS13335,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:35:13Z,89.234.157.98,198.51.100.1,37583,8333,52125cdba1eab11ae7187f5451e2a88217d11ec28823f6149780dc8e14454c81,1Bd3gmVWdCsdVJtsyNaYgWRT9RKpPqRE2q,0.769811,1PXHwpkLNVLrg2RY9zhTqyfVdJ615XuNy2,0.768271,0.00154,p2wpkh,CH,AS9009,SYNTHETIC_DEMO_NORMAL
2026-09-10T08:35:32Z,203.0.113.10,198.51.100.1,2168,8333,4e052d8673a0e14419580805a8c03399fb4833a185dfc0d9fb78031c9827fdc2,1byi4GKoEMLd9odyPDLe3yytHT5vC1efxZ,0.114495,bc1qq05szslvdq265345g3kuxw2uawlpgmgj99lsvx,0.114266,0.000229,p2wpkh,GB,AS51167,SYNTHETIC_DEMO_NORMAL
